window_start,window_end,leg_count,total_odds,stake,payout,profit,legs
2025-09-28 07:30:00+00:00,2025-09-28 09:30:00+00:00,5,27.7551,100.0,2775.51,2675.51,[SAME LEAGUE - USA MLS] Charlotte vs Montreal Impact | Montreal Impact +1.00@1.93 || Chicago Fire vs Columbus Crew | Chicago Fire -0.25@1.93 || Nashville SC vs Houston Dynamo | Nashville SC -0.75@1.93 || St. Louis City vs Los Angeles FC | Los Angeles FC -0.50@1.93 || Real Salt Lake vs Austin | Real Salt Lake -0.75@1.93
2025-09-23 17:00:00+00:00,2025-09-23 18:00:00+00:00,5,27.7551,100.0,2775.51,2675.51,[SAME LEAGUE - Japan J1 League] Tokyo vs Avispa Fukuoka | Tokyo -0.25@1.93 || Kashima Antlers vs Cerezo Osaka | Kashima Antlers -0.25@1.93 || Fagiano Okayama vs Yokohama | Yokohama +0.25@1.93 || Tokyo vs Avispa Fukuoka | Tokyo -0.25@1.93 || Vissel Kobe vs Tokyo Verdy | Tokyo Verdy +0.75@1.93
2025-09-21 18:15:00+00:00,2025-09-21 20:30:00+00:00,5,27.7551,100.0,2775.51,2675.51,[SAME LEAGUE - Netherlands Eredivisie] PEC Zwolle vs Go Ahead Eagles | Go Ahead Eagles +0.25@1.93 || PEC Zwolle vs Go Ahead Eagles | Go Ahead Eagles +0.25@1.93 || PEC Zwolle vs Go Ahead Eagles | Go Ahead Eagles +0.25@1.93 || PEC Zwolle vs Go Ahead Eagles | Go Ahead Eagles +0.25@1.93 || PSV vs Ajax | Ajax +0.75@1.93
2025-09-20 22:00:00+00:00,2025-09-20 22:00:00+00:00,5,27.7551,100.0,2775.51,2675.51,[SAME LEAGUE - England Championship] Derby County vs Preston North End | Preston North End +0.25@1.93 || Norwich City vs Wrexham | Wrexham +0.50@1.93 || Blackburn Rovers vs Ipswich Town | Blackburn Rovers +0.50@1.93 || Sheffield United vs Charlton Athletic | Charlton Athletic +0.50@1.93 || Portsmouth vs Sheffield Wednesday | Sheffield Wednesday +1.00@1.93
2025-09-20 16:00:00+00:00,2025-09-20 18:00:00+00:00,5,27.7551,100.0,2775.51,2675.51,[SAME LEAGUE - Japan J1 League] Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93 || Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93 || Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93 || Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93 || Kyoto Sanga vs Shimizu S-Pulse | Shimizu S-Pulse +0.50@1.93
2025-09-20 02:00:00+00:00,2025-09-20 02:00:00+00:00,5,27.7551,100.0,2775.51,2675.51,[SAME LEAGUE - Netherlands Eredivisie] Sparta Rotterdam vs Twente | Twente +0.00@1.93 || Sparta Rotterdam vs Twente | Twente +0.00@1.93 || Sparta Rotterdam vs Twente | Twente +0.00@1.93 || Sparta Rotterdam vs Twente | Twente +0.00@1.93 || Sparta Rotterdam vs Twente | Twente +0.00@1.93
2025-09-20 02:30:00+00:00,2025-09-20 02:30:00+00:00,5,27.7551,100.0,2775.51,2675.51,[SAME LEAGUE - Germany Bundesliga] Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93
2025-09-28 07:30:00+00:00,2025-09-28 08:30:00+00:00,4,14.4182,100.0,1441.82,1341.82,[SAME LEAGUE - USA MLS] Charlotte vs Montreal Impact | Montreal Impact +1.00@1.93 || Chicago Fire vs Columbus Crew | Chicago Fire -0.25@1.93 || Nashville SC vs Houston Dynamo | Nashville SC -0.75@1.93 || St. Louis City vs Los Angeles FC | Los Angeles FC -0.50@1.93
2025-09-23 17:00:00+00:00,2025-09-23 17:00:00+00:00,4,14.4182,100.0,1441.82,1341.82,[SAME LEAGUE - Japan J1 League] Tokyo vs Avispa Fukuoka | Tokyo -0.25@1.93 || Kashima Antlers vs Cerezo Osaka | Kashima Antlers -0.25@1.93 || Fagiano Okayama vs Yokohama | Yokohama +0.25@1.93 || Tokyo vs Avispa Fukuoka | Tokyo -0.25@1.93
2025-09-21 22:00:00+00:00,2025-09-21 22:00:00+00:00,4,14.4182,100.0,1441.82,1341.82,[SAME LEAGUE - England Championship] Bristol City vs Oxford United | Oxford United +0.75@1.93 || Bristol City vs Oxford United | Oxford United +0.75@1.93 || Bristol City vs Oxford United | Oxford United +0.75@1.93 || Bristol City vs Oxford United | Oxford United +0.75@1.93
